Graph_ID;Vertices,Edges,Kruskal_Cost,Prim_Cost,All_Costs_Match,Kruskal_Edges,Prim_Edges,Edges_OK,Kruskal_Time_ms,Prim_Time_ms,Kruskal_Ops,Prim_Ops
1,5,6,8,00,8,00,YES,4,4,YES,1,859,44,761,4,4
2,12,12,48,00,48,00,YES,11,11,YES,0,139,0,236,12,21
3,20,19,90,00,90,00,YES,19,19,YES,0,089,0,430,19,39
